id,comp_name,difficulty,Tier,description_short,description_long,enabler,commit
11,Huran - Scaling Caombat,Moyen,B,Déchaîner des gemmes d'attaques élevées pendant les combats,"Scale vos gammes de sang majoritairement en utilisant Sonneur épineux et en cyclant tous les Saxophoniste hérissé et Alimentation audacieuse  que vous trouvez. Puis, utilisez Roncicultrice rougebroche pour réincarner tous vos Hurans, le plus important étant le Sonneur puis les trois petits Hurans. Dvorak-Hirsute vous rend extrêmement, notamment quand vous le combinez avec réincarnation Seigneur de guerre gosier-moiré. Vous pouvez réincarner et provoquer Hureglobe, pour que le Hureglobe réincarné ait aussi venimosité. Vous pouvez aussi jouer Chaman chanteterre juste pour ajouter beaucoup de stat à la fin de votre tour. Evidemment, cyclez tous les Gardienne de porcs pour donner à vos Hurans Bouclier divin.",Scaling gemmes de sang (Sonneur épineux),Scaling de gemmes (Sonneur épineux) + Scaling combat (Dvorak-Hirsute)
12,Nagas - Marteleuse de terre,Moyen,B,Jouer des sorts et des Nagas pour scale,"Premièrement, vous devait avoir un midgame Naga afin d'avoir lancé beaucoup de sorts. après, vous devez avoir au moins 2 Marteleuse de terre, cyclez tous les nagas qui on a un bon effet sur eux comme Collectionneur de Coquillages et  Stratège sombrecrête. Brann est super efficace pour la création de sort et d'économie aussi. En late, vendez vos petites unités poru des unités de late comme Leeroy le Téméraire.",Stratège sombrecrête + Midgame Naga,Stratège sombrecrête + Marteleuse de terre
13,Mort-vivant - Débordement,Facile,B,Déborder votre plateau d'invocation pour scale,"Quand Garde-cadavres décède, il va buff tout votre plateau via le combo Titus Vaillefendre + Fracasseur des catacombes. Utilisez Ara monstrueux pour proc encore plus le râle d'agonie du Garde-cadavres. Une autre solution au Garde-cadavres et d'utiliser Rôdeuse magmatique si vous avez stacké beaucoup de Terre-mer en early.",Garde-cadavres ou Rôdeuse magmatique + Terre-mer,Unité de débordement (Garde-cadavres) + Fracasseur des catacombes
14,Mort-vivant - Scaling d'attaque,Moyen,B,Invoquez des mort-vivants avec beaucoup d'attaques,"Scalez l'attaque de vos Mort-vivants et de vos invocations avec le sort Abattage du Boucher tombedrust. Abattage double son effet quand il est combiné avec Balinda Gîtepierre, et aussi amélioré avec le scaling de sort de Geist sympathique ou Méditante sereine. Votre qualité d'invocation vient avec Réprouvée sans bras mais fonctionne aussi avec Frappeuse mortelle ou Invocatrice éternelle. Faîte attention de bien réincarner autant de mort-vivants important que possible, en commençant par Réprouvée sans bras. En utilisant Pilleur de tombes déguisé sur Momification donne des réincarnations permanentes.",Frappeuse mortelle + Geist sympathique,Scaling d'attaque (Boucher tombedrust) + invocations (Réprouvée sans bras)
15,Dragon - Cri de Guerre,Moyen,B,Cyclez des cris de guerre pour sale vos dragons,"Brann Barbe-de-Bronze + Kalecgos, Aspect des Arcanes donnent à tous vos dragons +4/+4 à chaque utilisation d'un cri de guerre. Vous voulez jouer autant d'unité cris de guerre possible. Après avoir obtenu votre setup, cyclez uniquement les unités PRENIUM comme Tempête de la taverne, Anomalie actualisante, Collectionneur de coquillages ou Garde draconique. Vous pouvez aussi utilisé Rylak fan de métal + Garde draconique pour farmer beaucoup de cris de guerre et de triples qui vous aide avec la puissance de votre plateau et votre économie.",Brann Barbe-de-Bronze,"Kalecgos, Aspect des Arcanes + Brann Barbe-de-Bronze"
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
